66,66漬けまぐろアボカドボイルえび丼(漬けまぐろ/アボカド/ボイルえび)
67,67ねぎとろ縁側いくら丼(ねき゛とろ/縁側/いくら)
68,68ねぎとろトロサーモン炙り漬けまぐろ丼(ねき゛とろ/トロサーモン/炙り漬けまく゛ろ)
69,69ねぎとろいくらウニ丼(ねぎとろ/いくら/ウニ)
70,70ねぎとろシラスアボカド丼(ねき゛とろ/シラス/アボカド)
71,71ねぎとろ温玉炙りチーズハラス丼(ねぎとろ/温玉/炙りチーズハラス)
72,72シラス開きエビ漬けまぐろ丼(シラス/開きエビ/漬けまぐろ)
73,73サーモン丼(サーモン)
74,74サーモン縁側丼(サーモン/縁側)
75,75サーモンねぎとろ丼(サーモン/ねぎとろ)
76,76サーモンいくら丼(サーモン/いくら)
77,77トロサーモン丼(トロサーモン)
78,78漬けサーモン丼(漬けサーモン)
79,79漬けサーモンねぎとろ丼(漬けサーモン/ねぎとろ)
80,80漬けサーモン縁側丼(漬けサーモン/縁側)
81,81漬けサーモン温玉丼(漬けサーモン/温玉)
82,82焼きハラス丼(焼きハラス)
83,83焼きハラスねぎとろ丼(焼きハラス/ねぎとろ)
84,84焼きハラス縁側丼(焼きハラス/縁側)
85,85サーモンづくし丼(サーモン/トロサーモン/焼きハラス)
86,86サーモンユッケ丼(サーモン切り落とし(焼き肉タレ)/温玉)
87,87サーモンカルパッチョ丼(サーモン切り落とし(カルパッチョのタレ)/温玉)
88,88ネギさば丼(さば)
89,89さばマグロ丼(さば/まぐろ)
90,90ヒカリづくし丼(こはだ/さより/しめさば)
91,91炙りサーモン丼(炙りサーモン)
92,92炙りマヨサーモン丼(炙りマヨサーモン)
93,93炙り縁側焼きハラス丼(炙り縁側/焼きハラス)
94,94炙りマヨハラス炙り縁側炙りサーモン丼(炙りマヨハラス/炙り縁側/炙りサーモン)
95,95炙りチーズハラス炙り縁側ねぎとろ丼(炙りチーズハラス/炙り縁側/ねぎとろ)
96,96焦がしバター醤油サーモン炙りアブラカレイねぎとろ丼(焦か゛しハ゛ター醤油サーモン/炙りアフ゛ラカレイ/ねき゛とろ)
97,97焦がし醤油ホタテ炙りチーズエビねぎとろ丼(焦か゛し醤油ホタテ/炙りチース゛エヒ゛/ねき゛とろ)
98,98焦がしバター醤油ねぎとろ炙りハラス温玉丼(焦か゛しハ゛ター醤油ねぎとろ/炙りハラス/温玉)
99,99焦がしチーズ醤油ねぎとろ炙りバター醤油サーモン温玉丼(.焦か゛しチース゛醤油ねき゛とろ/炙りハ゛ター醤油サーモン/温玉)
100,100焦がしバター醤油ねぎとろアボカド温玉丼(焦か゛しハ゛ター醤油ねき゛とろ/アホ゛カト゛/温玉)
101,101カニフレークボイルエビ丼(カニフレーク/ボイルえび)
102,102カニフレークねぎとろ丼(カニフレーク/ねぎとろ)
103,103シラス丼(シラス)
104,104シラスねぎとろ丼(シラス/ねぎとろ)
105,105シラス炙り縁側丼(シラス/炙り縁側)
106,106シラス温玉丼(シラス/温玉)
107,107シラス穴子丼(シラス/穴子)
108,108ねぎとろ丼(ねぎとろ)
109,109ねぎとろ縁側丼(ねぎとろ/縁側)
110,110ねぎとろ生ホタテ丼(ねぎとろ/生ホタテ)
111,111ねぎとろイクラ丼(ねぎとろ/イクラ)
112,112ねぎとろ温玉丼(ねぎとろ/温玉)
113,113ねぎとろタクアン丼(ねぎとろ/タクアン)
